"Envio","EstadoBR","Capital","Favela","Bairro","FaixaEtária","Raça","Gênero","Trans","Escolaridade","Abordado","Quantidade","Qtd_+10","Última","Ocorridos","PolicialMesmoGênero","Revistas","Tratamento","Ocorridos2","Sentimentos","Transporte","Racismo","Armas","Motivo","Identificação","Tempo","Tipos","Local","Imagem","Menor18","Casa","Delegacia","NaDelegacia","Conhecidos","Conte"
"2021-06-06 21:29:59","Rio de Janeiro","Capital","Não","Bairro Renda Alta","35 ou mais","Preta","Masculino","Não","Pós-graduação","Sim","2 - 4","","Não lembra","Houve revista pessoal (contato físico entre o policial e você) Houve revista na minha bolsa/mochila Perguntaram para onde eu estava indo (ou vindo) “Vem você que está mal vestido”","Mesmo gênero","Nenhuma das alternativas anteriores","Péssimo","Houve agressão verbal, xingamentos Houve assédio moral","Humilhado Com raiva ou ódio Exposto Frustrado ou impotente Revoltado Inseguro Desrespeitado Aliviado por não ter acontecido algo pior","a pé","Às vezes mencionaram, às vezes não","Nunca","Me disseram que EU PARECIA SER um suspeito que estavam procurando Me disseram que estranharam alguém como eu ali naquele local que eu estava Não me informaram o motivo","Uma vez","De 5 a 15 minutos","Policia Militar","Diversos","Nunca","Sim","Não","Não","","",""
"2021-06-06 18:52:02","São Paulo","Capital","Não","Bairro Renda Alta","30 - 34 anos","Preta","Masculino","Não","Pós-graduação","Sim","Uma vez","","> 5 anos","Houve revista pessoal (contato físico entre o policial e você) Houve consulta aos meus documentos Perguntaram para onde eu estava indo (ou vindo)","Mesmo gênero","Tocaram nas minhas partes íntimas (seios, bumbum, virilha, órgãos genitais)","Péssimo","Houve ameaças contra mim","Humilhado Com raiva ou ódio Exposto Frustrado ou impotente Revoltado Inseguro Desrespeitado Aliviado por não ter acontecido algo pior","Transporte público","Mencionaram na maioria das vezes, mas não sempre","Sempre","Me informaram que estavam me abordando como parte da rotina do trabalho","Uma vez","De 5 a 15 minutos","Policia Civil","Mesmos lugares","Nunca","Sim","Não","Não","","",""
"2021-06-06 18:11:15","Rio de Janeiro","Capital","Sim","","35 ou mais","Preta","Feminino","Não","Pós-graduação","Sim","acima de 10","30","< 3 meses","Houve revista pessoal (contato físico entre o policial e você) Houve consulta aos meus documentos Houve revista na minha bolsa/mochila Houve revista no veículo (no carro, na moto, etc.) Perguntaram para onde eu estava indo (ou vindo) Perguntaram se era eu traficante ou tinha relação com o tráfico pediram pra que eu tirasse meu turbante para averiguação, na saída da Nova Holanda no horario de 18h","Gênero diferente","Nenhuma das alternativas anteriores","Péssimo","Houve violência psicológica Houve agressão verbal, xingamentos Houve ameaças contra mim Houve assédio moral","Humilhado Com raiva ou ódio Exposto Frustrado ou impotente Inseguro Com medo Aliviado por não ter acontecido algo pior","a pé","Às vezes mencionaram, às vezes não","Algumas vezes","Me disseram que minha ATITUDE era suspeita Me disseram que tinham recebido uma denúncia e precisavam me abordar Me disseram que estranharam alguém como eu ali naquele local que eu estava Me informaram que estavam me abordando como parte da rotina do trabalho Estavam abordando várias pessoas no local (ex: blitz)","Algumas vezes","De 5 a 15 minutos","Policia Militar Força Nacional","Mesmos lugares","Nunca","Não","Sim","Não","","",""
"2021-06-06 17:45:59","Rio de Janeiro","Capital","Não","Bairro Renda Média","18 - 24 anos","Preta","Masculino","Não","Superior incompleto","Sim","acima de 10","","< 3 meses","Houve revista pessoal (contato físico entre o policial e você)","Mesmo gênero","Nenhuma das alternativas anteriores","Nem bom nem ruim","Houve violência psicológica Nenhuma das opções anteriores","Humilhado Com raiva ou ódio","a pé","Às vezes mencionaram, às vezes não","Sempre","Me disseram que EU PARECIA SER um suspeito que estavam procurando Me disseram que minha ATITUDE era suspeita Me disseram que tinham recebido uma denúncia e precisavam me abordar","Algumas vezes","Até 5 minutos","Policia Militar Muito variado, prefiro não escolher (não lembro)","Sem padrão","Foto ou vídeo","Sim","Não","Não","","",""
"2021-06-06 17:27:15","São Paulo","Reg.Metropolitana","Não","","35 ou mais","Preta","Feminino","Não","Superior incompleto","Sim","2 - 4","","> 5 anos","Houve consulta aos meus documentos Houve revista na minha bolsa/mochila Houve revista no veículo (no carro, na moto, etc.) Perguntaram para onde eu estava indo (ou vindo)","","","Ruim","Nenhuma das opções anteriores","Humilhado Com raiva ou ódio Exposto Frustrado ou impotente Revoltado Inseguro Tendo minha privacidade invadida Com medo Desrespeitado Aliviado por não ter acontecido algo pior","de carro","Nunca mencionaram sua raça ou cor","Mão na arma no coldre","Me informaram que estavam me abordando como parte da rotina do trabalho Estavam abordando várias pessoas no local (ex: blitz) Não me informaram o motivo","Sempre","Até 5 minutos","Policia Militar","Diversos","Nunca","Sim","Sim","Não","","",""
"2021-06-06 14:40:39","São Paulo","Capital","Sim","","18 - 24 anos","Parda","Masculino","Não","Superior incompleto","Sim","2 - 4","","1 a 5 anos","Houve consulta aos meus documentos Houve revista na minha bolsa/mochila Perguntaram para onde eu estava indo (ou vindo) Disseram que um dos meus pertences era roubado e não meu","","","Péssimo","Houve agressão verbal, xingamentos Houve assédio moral","Humilhado Com raiva ou ódio Exposto Frustrado ou impotente Revoltado Inseguro Tendo minha privacidade invadida Com medo Desrespeitado","a pé","Nunca mencionaram sua raça ou cor","Mão na arma no coldre","Me disseram que estranharam alguém como eu ali naquele local que eu estava Não me informaram o motivo","Sempre","Até 5 minutos","Policia Militar","Mesmos lugares","Nunca","Sim","Não","Não","","",""
"2021-06-06 14:18:34","Rio de Janeiro","Capital","Não","Bairro Renda Média","35 ou mais","Parda","Feminino","Não","Pós-graduação","Sim","2 - 4","","> 5 anos","Houve revista pessoal (contato físico entre o policial e você) Houve consulta aos meus documentos O que eu estava fazendo ali. Onde joguei o fumo ","Mesmo gênero","Nenhuma das alternativas anteriores","Nem bom nem ruim","Houve violência psicológica","Revoltado Desrespeitado","a pé","Nunca mencionaram sua raça ou cor","Nunca","Me disseram que minha ATITUDE era suspeita","Nunca","Até 5 minutos","Policia Militar","Diversos","Nunca","Sim","Não","Sim","Nenhuma das anteriores","",""
"2021-06-06 14:17:27","Rio de Janeiro","Capital","Não","Bairro Renda Média","35 ou mais","Branca","Feminino","Não","Pós-graduação","Não","","","","","","","","","","","","","","","","","","","","","","","Sim",""
"2021-06-06 11:38:13","Rio de Janeiro","Capital","Não","Bairro Renda Média","35 ou mais","Branca","Feminino","Não","Pós-graduação","Não","","","","","","","","","","","","","","","","","","","","","","","Sim","Sou professora da rede pública e meus alunos vivem em sua maioria nas favelas de Copacabana , Ipanema e Leme. Muitos relataram em aulas a forma agressiva das abordagens policiais. A grande maioria negra &quot; zoava&quot; os colegas de turma brancos q tb viviam na favela mas nunca tinham sido abordados."
"2021-06-06 11:26:07","Rio de Janeiro","Capital","Não","Bairro Renda Alta","35 ou mais","Parda","Feminino","Não","Superior completo","Sim","2 - 4","","> 5 anos","Houve consulta aos meus documentos","","","Bom","Nenhuma das opções anteriores","Nenhuma das alternativas anteriores","de carro","Nunca mencionaram sua raça ou cor","Nunca","Estavam abordando várias pessoas no local (ex: blitz)","Algumas vezes","Até 5 minutos","Policia Militar","Diversos","Nunca","Não","Não","Não","","",""
"2021-06-06 00:01:18","Rio de Janeiro","Reg.Metropolitana","Não","Bairro Renda Alta","35 ou mais","Branca","Masculino","Não","Pós-graduação","Sim","Uma vez","","1 a 5 anos","Houve consulta aos meus documentos","","","Bom","Nenhuma das opções anteriores","Inseguro Com medo","moto","Nunca mencionaram sua raça ou cor","Mão na arma no coldre","Não me informaram o motivo","Nunca","Até 5 minutos","Policia Militar","Mesmos lugares","Nunca","Não","Não","Não","","",""
"2021-06-05 21:03:05","Bahia","Capital","Não","Bairro Renda Alta","35 ou mais","Preta","Masculino","Não","Superior completo","Sim","4 - 6","","1 a 5 anos","Houve revista pessoal (contato físico entre o policial e você) Houve consulta aos meus documentos Houve revista na minha bolsa/mochila Perguntaram para onde eu estava indo (ou vindo)","Mesmo gênero","Tocaram nas minhas partes íntimas (seios, bumbum, virilha, órgãos genitais)","Ruim","Houve violência psicológica","Tendo minha privacidade invadida","Transporte público","Nunca mencionaram sua raça ou cor","Nunca","Me disseram que minha ATITUDE era suspeita Me informaram que estavam me abordando como parte da rotina do trabalho Não me informaram o motivo","Algumas vezes","Até 5 minutos","Policia Militar","Mesmos lugares","Nunca","Não","Não","Não","","",""
"2021-06-05 17:54:04","Bahia","Capital","Não","Bairro Renda Média","35 ou mais","Preta","Masculino","Não","Pós-graduação","Não","","","","","","","","","","","","","","","","","","","","","","","Sim","Um rapaz jovem , não branco,conhecido da nossa família foi abordado recentente pela polícia.Não houve violência,mas com certeza a abordagem foi  devido a cor e por não estar bem vestido.Moro em um condomínio próximo a um ponto de ônibus e as abordagens são frequentes e as pessoas vc abordadas são sempre as pretas."
"2021-06-05 16:34:50","Ceará","Capital","Não","Bairro Renda Média","30 - 34 anos","Parda","Feminino","Não","Pós-graduação","Sim","Uma vez","","1 a 5 anos","Houve revista pessoal (contato físico entre o policial e você) Houve consulta aos meus documentos Houve revista na minha bolsa/mochila Houve revista no veículo (no carro, na moto, etc.) Perguntaram para onde eu estava indo (ou vindo)","Mesmo gênero","Nenhuma das alternativas anteriores","Ruim","Houve violência psicológica","Exposto Inseguro Tendo minha privacidade invadida Com medo","de carro","Nunca mencionaram sua raça ou cor","Sempre","Me disseram que minha ATITUDE era suspeita Me disseram que tinham recebido uma denúncia e precisavam me abordar Me informaram que estavam fazendo uma operação especial e precisavam me abordar","Sempre","De 5 a 15 minutos","Policia Militar","Diversos","Nunca","Não","Não","Não","","",""
"2021-06-05 16:27:19","Pernambuco","Capital","Sim","","35 ou mais","Preta","Feminino","Não","Pós-graduação","Sim","4 - 6","","< 3 meses","Houve revista pessoal (contato físico entre o policial e você) Houve consulta aos meus documentos Perguntaram para onde eu estava indo (ou vindo)","Gênero diferente","Tocaram nas minhas partes íntimas (seios, bumbum, virilha, órgãos genitais)","Péssimo","Houve assédio moral","Humilhado","a pé","Mencionaram na maioria das vezes, mas não sempre","Algumas vezes","Me disseram que minha ATITUDE era suspeita","Algumas vezes","Até 5 minutos","Policia Militar","Mesmos lugares","Nunca","Sim","Não","Não","","",""
"2021-06-05 16:16:52","São Paulo","Interior ñ Rural","Não","Bairro Renda Média","30 - 34 anos","Branca","Feminino","Não","Pós-graduação","Sim","Uma vez","","1 a 5 anos","Foi uma revista em um bar em frente a onde meu marido e estávamos estacionados tomando uma cerveja. Fizeram a gente descer do carro e ficar com as mãos na  na parede com as demais pessoas que estavam nas proximidades para revistarem o bar (onde não estávamos). ","","","Ruim","Houve violência psicológica","Humilhado Exposto Revoltado Inseguro Com medo Desrespeitado Aliviado por não ter acontecido algo pior","de carro","Nunca mencionaram sua raça ou cor","Mão na arma no coldre","Estavam abordando várias pessoas no local (ex: blitz) Não me informaram o motivo","Sempre","De 30 a 45 minutos","Muito variado, prefiro não escolher (não lembro)","Diversos","Nunca","Não","Não","Não","","",""
"2021-06-05 15:58:39","Rio de Janeiro","Capital","Não","Bairro Renda Baixa","25 - 29 anos","Preta","Masculino","Não","Superior incompleto","Sim","2 - 4","","1 a 5 anos","Houve revista pessoal (contato físico entre o policial e você) Houve consulta aos meus documentos Houve revista na minha bolsa/mochila Houve revista no veículo (no carro, na moto, etc.) Perguntaram para onde eu estava indo (ou vindo) Perguntaram se era eu traficante ou tinha relação com o tráfico Já vieram perguntando onde estava a maconha","Mesmo gênero","Tocaram nas minhas partes íntimas (seios, bumbum, virilha, órgãos genitais)","Péssimo","Houve violência física Houve violência psicológica Houve agressão verbal, xingamentos Apontaram um fuzil para uma criança que estava em meu colo.","Frustrado ou impotente Revoltado Aliviado por não ter acontecido algo pior","de carro","Nunca mencionaram sua raça ou cor","Sempre","Não me informaram o motivo","Nunca","De 15 a 30 minutos","Policia Militar","Diversos","Nunca","Não","Não","Não","","",""
"2021-06-05 13:12:21","Pará","Interior ñ Rural","Não","Bairro Renda Baixa","35 ou mais","Parda","Masculino","Não","Pós-graduação","Sim","2 - 4","","1 a 5 anos","Houve revista pessoal (contato físico entre o policial e você) Houve consulta aos meus documentos Houve revista no meu celular Houve revista na minha bolsa/mochila Jogaram meus pertences no chão Perguntaram para onde eu estava indo (ou vindo) Perguntaram se era eu traficante ou tinha relação com o tráfico","Mesmo gênero","Tocaram nas minhas partes íntimas (seios, bumbum, virilha, órgãos genitais)","Ruim","Houve violência psicológica Houve agressão verbal, xingamentos Houve ameaças contra mim","Humilhado Exposto Revoltado Inseguro Com medo Desrespeitado Aliviado por não ter acontecido algo pior","a pé","Mencionaram na maioria das vezes, mas não sempre","Algumas vezes","Me disseram que EU PARECIA SER um suspeito que estavam procurando Me disseram que minha ATITUDE era suspeita Me disseram que tinham recebido uma denúncia e precisavam me abordar Me disseram que estranharam alguém como eu ali naquele local que eu estava Me informaram que estavam fazendo uma operação especial e precisavam me abordar Me informaram que estavam me abordando como parte da rotina do trabalho Estavam abordando várias pessoas no local (ex: blitz)","Algumas vezes","De 5 a 15 minutos","Policia Militar","Diversos","Foto ou vídeo","Sim","Sim","Não","","",""
"2021-06-05 12:56:33","Rio Grande do Sul","Capital","Não","Bairro Renda Média","25 - 29 anos","Parda","Masculino","Não","Superior completo","Não","","","","","","","","","","","","","","","","","","","","","","","Sim",""
"2021-06-05 11:44:59","Santa Catarina","Reg.Metropolitana","Sim","","Menos de 18 anos","Parda","Masculino","Não","Médio completo","Sim","2 - 4","","< 3 meses","Houve revista pessoal (contato físico entre o policial e você) Houve consulta aos meus documentos Houve revista na minha bolsa/mochila Jogaram meus pertences no chão Perguntaram para onde eu estava indo (ou vindo) Perguntaram se era eu traficante ou tinha relação com o tráfico","Mesmo gênero","Tocaram nas minhas partes íntimas (seios, bumbum, virilha, órgãos genitais) Pediram para eu tirar uma ou mais peça de roupa","Nem bom nem ruim","Nenhuma das opções anteriores","Exposto Frustrado ou impotente Inseguro Tendo minha privacidade invadida Desrespeitado Aliviado por não ter acontecido algo pior","a pé","Nunca mencionaram sua raça ou cor","Algumas vezes","Me disseram que minha ATITUDE era suspeita Não me informaram o motivo","Sempre","De 5 a 15 minutos","Policia Militar","Mesmos lugares","Apenas docs","Sim","Não","Não","","",""
"2021-06-05 10:10:30","Bahia","Capital","Não","Bairro Renda Baixa","35 ou mais","Preta","Masculino","Não","Pós-graduação","Sim","7 - 9","","3 - 6 meses","Houve revista pessoal (contato físico entre o policial e você) Houve consulta aos meus documentos Houve revista na minha bolsa/mochila Houve revista no veículo (no carro, na moto, etc.) Perguntaram para onde eu estava indo (ou vindo) Ando de moto e quando tem blitz, pelo menos 3/5 das vezes sou parado. Uma vez o policial me abordou e pediu para eu descer da moto com as mãos no capacete. Quando o fiz ele reclamou, apontando uma arma para mim, dizendo que era para desligar a moto. Eu fiquei muito assustado! Nessas ocasiões se você fizer algo sem avisar antes, pode levar um tiro. Ele não tinha pedido para desligar a moto. Só fiz o que mandaram. Desde então eu pergunto o que é para fazer e aviso antes o que eu irei fazer, só por prevenção. Não quero morrer dessa forma. PS: sempre quando vejo uma blitz, mesmo andando no ""padrão"", meu coração gela.","Mesmo gênero","Tocaram nas minhas partes íntimas (seios, bumbum, virilha, órgãos genitais) Entrei numa rua em meu bairro e estava acontecendo uma abordagem. Eu gelei. Estava com documento, mas nunca se sabe. Pensei em voltar, mas seria pior. Desci então seguir meu caminho. Eis que um policial pergunta porque eu saí da abordagem, eu disse: ""eu só estava passando!"". Fui revistado com agressividade, o policial fez a revista íntima com tanta força que provocou dor em meus testículos. Não falei nada, pois temi uma agressão pior ou ser levado como usuário, mesmo nunca ter usado drogas ou ter sido fichado.","Ruim","Houve violência física Houve violência psicológica Houve assédio moral","Humilhado Com raiva ou ódio Exposto Frustrado ou impotente Revoltado Inseguro Tendo minha privacidade invadida Com medo Desrespeitado Aliviado por não ter acontecido algo pior","moto","Poucas vezes mencionaram sua raça ou cor","Sempre","Me disseram que minha ATITUDE era suspeita Me informaram que estavam fazendo uma operação especial e precisavam me abordar Me informaram que estavam me abordando como parte da rotina do trabalho Estavam abordando várias pessoas no local (ex: blitz) Não me informaram o motivo","Sempre","De 5 a 15 minutos","Policia Militar","Diversos","Apenas docs","Sim","Não","Não","","",""
"2021-06-05 09:51:32","Pernambuco","Capital","Não","Bairro Renda Baixa","35 ou mais","Preta","Masculino","Não","Pós-graduação","Sim","2 - 4","","1 a 5 anos","Houve revista pessoal (contato físico entre o policial e você) Houve revista na minha bolsa/mochila Perguntaram para onde eu estava indo (ou vindo) Perguntaram qual era minha intenção por estar ali.","Mesmo gênero","Tocaram nas minhas partes íntimas (seios, bumbum, virilha, órgãos genitais)","Péssimo","Houve violência psicológica Houve intimidação e constrangimento ","Humilhado Tendo minha privacidade invadida Desrespeitado","a pé","Nunca mencionaram sua raça ou cor","Mão na arma no coldre","Me disseram que minha ATITUDE era suspeita Me informaram que estavam me abordando como parte da rotina do trabalho","Sempre","De 5 a 15 minutos","Policia Militar Grupo Especial (ex: BOPE, GOE, ROTA, ROCAM)","Sem padrão","Nunca","Não","Não","Não","","",""
"2021-06-05 08:23:44","Rio Grande do Norte","Interior ñ Rural","Não","Bairro Renda Baixa","35 ou mais","Branca","Masculino","Não","Superior completo","Sim","2 - 4","","> 5 anos","Houve revista pessoal (contato físico entre o policial e você) Houve revista no veículo (no carro, na moto, etc.) Perguntaram para onde eu estava indo (ou vindo) Disseram que um dos meus pertences era roubado e não meu","Mesmo gênero","Nenhuma das alternativas anteriores","Péssimo","Houve violência psicológica Houve agressão verbal, xingamentos Houve ameaças contra mim Houve assédio moral","Humilhado Exposto Revoltado Inseguro Com medo Desrespeitado Aliviado por não ter acontecido algo pior","moto","Nunca mencionaram sua raça ou cor","Algumas vezes","Me disseram que tinham recebido uma denúncia e precisavam me abordar Não me informaram o motivo","Uma vez","Mais que 1 hora","Policia Militar","Diversos","Apenas docs","Não","Não","Não","","",""
